Title,Author,State,District,Date of Challenge/Removal,Banned Status,Ban Origin
The Music of What Happens,"Konigsberg, Bill",Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
The Nativity: Mary Remembers,"Knowlton, Laurie",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Nerdy and the Dirty,"Gottfred, B. T.",Florida,St. John's County School District,Jan-23,Banned Pending Investigation,Formal Challenge
The Nowhere Girls,"Reed, Amy",Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
The Nowhere Girls,"Reed, Amy",Florida,Escambia County Public Schools,Sep-22,Banned from Libraries,Formal Challenge
The Nowhere Girls,"Reed, Amy",Florida,Flagler Schools,Jun-23,Banned from Libraries and Classrooms,Formal Challenge
The Nowhere Girls,"Reed, Amy",Florida,Martin County Schools,Feb-23,Banned from Libraries and Classrooms,Formal Challenge
The Nowhere Girls,"Reed, Amy",Florida,School District of Manatee County,Jul-22,Banned from Libraries,Legislative Action
The Nowhere Girls,"Reed, Amy",Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
The Only Black Girls in Town,"Colbert, Brandy",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Origami Artist's Bible,"Wood, Ashley",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Other Talk: Reckoning with Our White Privilege,"Kiely, Brendan",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Pact: A Love Story,"Picoult, Jodi",Florida,Martin County Schools,Feb-23,Banned from Libraries and Classrooms,Formal Challenge
The Pants Project,"Clarke, Cat",Florida,The School District of Palm Beach County,Jul-22,Banned from Libraries,Legislative Action
The Parable of the Lily,"Higgs, Liz Curtis",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Parables of Jesus,"DePaola, Tomie",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Perks of Being a Wallflower,"Chbosky, Stephen",Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
The Perks of Being a Wallflower,"Chbosky, Stephen",Florida,Lake County Schools,Fall 2022,Banned from Libraries and Classrooms,Legislative Action
The Perks of Being a Wallflower,"Chbosky, Stephen",Florida,Martin County Schools,Feb-23,Banned from Libraries and Classrooms,Formal Challenge
The Perks of Being a Wallflower,"Chbosky, Stephen",Florida,School District of Hamilton County,Mar-23,Banned from Libraries and Classrooms,Administration
The Perks of Being a Wallflower,"Chbosky, Stephen",Florida,Volusia County Schools,Mar-23,Banned from Libraries,Administration
The Pine Tree Parable,"Higgs, Liz Curtis",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Poet X,"Acevedo, Elizabeth",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Poet X,"Acevedo, Elizabeth",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
The Poet X,"Acevedo, Elizabeth",Florida,School District of Hamilton County,Mar-23,Banned from Libraries and Classrooms,Administration
The Prince and the Dressmaker,"Wang, Jen",Florida,Clay County School District,Sep-22,Banned Pending Investigation,Formal Challenge
The Prince and the Dressmaker,"Wang, Jen",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
The Prince and the Dressmaker,"Wang, Jen",Florida,School District of Manatee County,Jul-22,Banned from Libraries,Legislative Action
The Prince of Egypt,"Yolen, Jane",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Quilter's Block Bible,"Eddy, Celia",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Random House Book of Bible Stories,"Osborne, Mary Pope",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Remarkable Journey of Coyote Sunrise,"Gemeinhart, Dan",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Road to Bethlehem: An Ethiopian Nativity,"Laird, Elizabeth",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Sacrifice of Darkness,"Gay, Roxane",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Season of Styx Malone,"Magoon, Kekla",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Seven Days of Creation,"Fisher, Leonard Everett",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Sin-Eater's Confession,"Bick, Ilsa J.",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Sky is Everywhere,Jandy Nelson,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Sleeping Beauty,"Hyman, Trina Schart",Florida,Duval County Public Schools,Mar-23,Banned from Libraries and Classrooms,Administration
The Stable Where Jesus Was Born,"Greene, Rhonda Gowler",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Stonewall Riots: Coming Out in the Street,"Pitman, Gayle E.",Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
The Story of Baby Moses,"Davidson, Alice Joyce",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Story of Christmas (PF),"Fehlner, Paul",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Story of Christmas (VF),"French, Vivian",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Story of Christmas: Words from the Gospels of Matthew and Luke,"Ray, Jane",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Story of Creation,"Davidson, Alice Joyce",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Story of Daniel and the Lions,"Davidson, Alice Joyce",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Story of Exodus,"Davidson, Alice Joyce",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Story of Jesus and His Disciples,"Davidson, Alice Joyce",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Story of Job,"Brodsky, Beverly",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Story of Jonah (AJD),"Davidson, Alice Joyce",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Story of Jonah (JB),"Bragg, Juliana",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Story of Noah,"Davidson, Alice Joyce",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Story of the Loaves and Fishes,"Davidson, Alice Joyce",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Story of the Prodigal Son,"Davidson, Alice Joyce",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Story of the Three Wise Kings,"DePaola, Tomie",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Story of the Tower of Babel,"Davidson, Alice Joyce",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Story of Werewolves,"Aylesworth, Thomas G.",Florida,Duval County Public Schools,Mar-23,Banned from Libraries and Classrooms,Administration
The Storyteller,"Picoult, Jodi",Florida,Martin County Schools,Feb-23,Banned from Libraries and Classrooms,Formal Challenge
The Sun and Her Flowers,"Kaur, Rupi",Florida,Brevard Public Schools,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
The Sun and Her Flowers,"Kaur, Rupi",Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
The Sun and Her Flowers,"Kaur, Rupi",Florida,Escambia County Public Schools,Jan-23,Banned Pending Investigation,Formal Challenge
The Sun and Her Flowers,"Kaur, Rupi",Florida,Hernando County Schools,Jun-23,Banned from Libraries and Classrooms,Formal Challenge
The Sun and Her Flowers,"Kaur, Rupi",Florida,Marion County Public Schools,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
The Sun and Her Flowers,"Kaur, Rupi",Florida,Santa Rosa County District Schools,Jun-23,Banned from Libraries and Classrooms,Formal Challenge
The Sun and Her Flowers,"Kaur, Rupi",Florida,St. John's County School District,Jan-23,Banned Pending Investigation,Formal Challenge
The Sweetest Story: Bible for Toddlers,"Stortz, Diane",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
"The Talk: Conversations about Race, Love and Truth","Hudson, Wade",Florida,School District of Manatee County,Jul-22,Banned from Libraries and Classrooms,Legislative Action
The Ten Bridesmaids: Matthew 25: 1-13,"Berendes, Mary",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Tenth Circle,"Picoult, Jodi",Florida,Martin County Schools,Feb-23,Banned from Libraries and Classrooms,Formal Challenge
The Testaments,"Atwood, Margaret",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Tower of Babel,"Hirsh, Marilyn",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Truth About Alice: A Novel,"Mathieu, Jennifer",Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
The Truth About Alice: A Novel,"Mathieu, Jennifer",Florida,Collier County Public Schools,Mar-23,Banned from Libraries,Administration
The Truth About Alice: A Novel,"Mathieu, Jennifer",Florida,Duval County Public Schools,Mar-23,Banned from Libraries and Classrooms,Administration
The Truth About Alice: A Novel,"Mathieu, Jennifer",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
The Truth About Alice: A Novel,"Mathieu, Jennifer",Florida,Flagler Schools,Jun-23,Banned from Libraries,Formal Challenge
The Truth About Alice: A Novel,"Mathieu, Jennifer",Florida,Highlands Schools,Sep-22,Banned Pending Investigation,Informal Challenge
The Truth About Alice: A Novel,"Mathieu, Jennifer",Florida,Martin County Schools,Feb-23,Banned from Libraries and Classrooms,Formal Challenge
The Truth About Alice: A Novel,"Mathieu, Jennifer",Florida,Okaloosa County Schools District,Jan-23,Banned Pending Investigation,Administration
The Truth About Alice: A Novel,"Mathieu, Jennifer",Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
The Truth Is,"Ramos, NoNieqa",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Upside of Unrequited,"Albertalli, Becky",Florida,Clay County School District,Sep-22,Banned from Libraries,Formal Challenge
The Upside of Unrequited,"Albertalli, Becky",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
The Upside of Unrequited,"Albertalli, Becky",Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
The Usborne Book of Bible Stories,"Amery, Heather",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Vincent Boys,"Glines, Abbi",Florida,Collier County Public Schools,Mar-23,Banned from Libraries,Administration
The Wailing Wall,"Fisher, Leonard Everett",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Whispers,"Howard, Greg",Florida,Escambia County Public Schools,Apr-23,Banned Pending Investigation,Formal Challenge
The Witch Boy,"Ostertag, Molly Knox",Florida,Escambia County Public Schools,Apr-23,Banned Pending Investigation,Formal Challenge
The Wolf Man,"Thorne, Ian",Florida,Gilchrist County Schools,Mar-23,Banned from Libraries and Classrooms,Administration
The Year of the Flood,"Atwood, Margaret",Florida,Escambia County Public Schools,Dec-22,Banned Pending Investigation,Formal Challenge
The You I've Never Known,"Hopkins, Ellen",Florida,Clay County School District,Jul-22,Banned from Libraries and Classrooms,Formal Challenge
The You I've Never Known,"Hopkins, Ellen",Florida,Hernando County Schools,Oct-22,Banned from Libraries and Classrooms,Administration
The You I've Never Known,"Hopkins, Ellen",Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
They Both Die at the End,"Silvera, Adam",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Third Time's a Charm,"Gudsnuk, Kristen",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Thirteen Reasons Why,"Asher, Jay",Florida,Clay County School District,Jul-22,Banned from Libraries,Formal Challenge
Thirteen Reasons Why,"Asher, Jay",Florida,Collier County Public Schools,Mar-23,Banned from Libraries,Administration
Thirteen Reasons Why,"Asher, Jay",Florida,Duval County Public Schools,Mar-23,Banned from Libraries and Classrooms,Administration
Thirteen Reasons Why,"Asher, Jay",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
